,AGE0,AGE0,AGE0,BMI0,BMI0,FSH0,FSH0,E2AVE0,E2AVE0
,mean,std,count,mean,std,mean,std,mean,std
cluster,,,,,,,,,
0,45.85,2.71,1052,36.67,6.05,21.75,21.2,71.46,83.37
1,45.85,2.68,2243,24.41,3.46,25.64,28.49,79.24,78.99
2,,,0,25.55,4.37,21.96,18.27,87.27,33.51
3,45.0,4.24,2,21.81,3.43,100.3,21.64,21.52,0.25
